ಅಂಕದ ಪರದೆ ಏಳು	ಪ್ರಾರಂಭವಾಗು, ಆರಂಭವಾಗು
ಅಂಕಿತ ಹಾಕು	ಸಹಿ ಮಾಡು, ರುಜು ಮಾಡು
ಅಂಕದ ಪರದೆ ಬೀಳು	ಮುಗಿ ಕೊನೆಗೊಳ್ಳು
ಅಂಕುರಾರ್ಪಣ ಮಾಡು	ಪ್ರಾರಂಭಿಸು, ಮೊದಲು ಮಾಡು
ಅಂಕುಶ ಹಾಕು	ಅಡ್ಡಿ ಮಾಡು, ತಡೆಯೊಡ್ಡು
ಅಂಗಡಿ ಇಡು	ತೋರಿಸು, ಪ್ರದರ್ಶಿಸು
ಅಂಗೈ ನೆಲ್ಲಿ	ಕರತಲಾಮಲಕ, ಸ್ಪಷ್ಟ
ಅಂಗೈಯಲ್ಲಿ ಆಕಾಶ ತೋರಿಸು	ತೋರಿಕೆ ಮಾಡು, ಸುಳ್ಳು ಹೇಳು
ಅಂಗೈಯಲ್ಲಿ ಇಟ್ಟುಕೋ	ಜೋಪಾನವಾಗಿ ನೋಡಿಕೋ, ಕಾಪಾಡು
ಅಂಗೈಯಲ್ಲಿ ಜೀವ ಹಿಡಿದುಕೊಳ್ಳು	ಬಹಳ ಭಯದಿಂದಿರು, ಎಚ್ಚರದಿಂದಿರು
ಅಂಗೈ ಮುಂಗೈ ಮಾಡು	ವಂಚಿಸು, ಮೋಸ ಮಾಡು
ಅಂಡಿಗೆ ನೀರು ಬಿಡು	ಮಾಡಿದ ಉಪಕಾರವನ್ನು ಮರೆಯುವುದು
ಅಂತರಂಗವನ್ನು ಚುಚ್ಚು	ಮನಸ್ಸಿಗೆ ನೋವುಂಟು ಮಾಡು, ಬೇಸರಪಡಿಸು
ಅಂತರ ಪಿಶಾಚಿ	ನೆಲೆಯಿಲ್ಲದೆ ಅಲೆದಾಡು
ಅಂತರ್ಲಾಗ ಹಾಕು	ಬಹಳ ಪ್ರಯತ್ನಿಸು
ಅಕ್ಕಿಕಾಳಿಗೆ ಹೋಗು	ವಿವಾಹದ ಸಮಯಕ್ಕೆ ಮಾತ್ರ ಹೋಗುವುದು
ಅಕ್ಷತೆ ಕೊಟ್ಟು ಹೇಳು	ವಿಶೇಷ ರೀತಿಯಿಂದ ಕರೆಯುವುದು
ಅಕ್ಷತೆ ಬೀಳು	ವಿವಾಹವಾಗು, ಮದುವೆಯಾಗು
ಅಕ್ಷಯ ಪಾತ್ರೆ	ಸಮೃದ್ಧವಾಗುವುದು
ಅಗ್ನಿಪರೀಕ್ಷೆ	ಕಠಿಣವಾದ ಸಂದರ್ಭ
ಅಗ್ರತಾಂಬೂಲ	ವಿಶೇಷ ಗೌರವ, ವಿಶೇಷ ಮನ್ನಣೆ
ಅಗ್ರಪೀಠ	ಪ್ರಮುಖ ಸ್ಥಾನ, ಬಹಳ ಮರ್ಯಾದೆ
ಅಗ್ರವೀಳ್ಯ	ವಿಶೇಷ ಆಹ್ವಾನವನ್ನು ನೀಡು
ಅಜಗಜಾಂತರ	ಬಹಳ ವ್ಯತ್ಯಾಸ, ತುಂಬಾ ಅಂತರ
ಅಜ್ಜಮ್ಮನ ಕತೆ	ಕಟ್ಟುಕತೆ, ನಂಬಲಸಾಧ್ಯವಾದ ಸಂಗತಿ
